iter	Passed	Remaining
220	679	2394
221	682	2390
222	684	2385
223	687	2381
224	689	2376
225	692	2372
226	696	2370
227	699	2366
228	701	2363
229	704	2358
230	707	2355
231	710	2351
232	712	2346
233	715	2342
234	718	2338
235	721	2334
236	723	2330
237	726	2326
238	729	2322
239	732	2318
240	734	2314
241	737	2310
242	740	2305
243	742	2301
244	745	2297
245	748	2294
246	751	2289
247	753	2285
248	756	2280
249	759	2277
250	761	2272
251	764	2268
252	767	2264
253	769	2260
254	772	2257
255	775	2253
256	778	2249
257	780	2245
258	783	2242
259	786	2238
260	789	2234
261	791	2230
262	794	2226
263	797	2223
264	800	2219
265	802	2215
266	805	2210
267	808	2207
268	810	2202
269	813	2199
270	816	2196
271	818	2191
272	821	2188
273	824	2184
274	827	2181
275	830	2178
276	832	2174
277	835	2170
278	838	2166
279	841	2162
280	843	2158
281	846	2155
282	849	2151
283	851	2147
284	854	2144
285	857	2140
286	860	2136
287	862	2133
288	865	2129
289	868	2125
290	870	2121
291	873	2118
292	876	2115
293	879	2111
294	882	2108
295	884	2104
296	887	2101
297	890	2097
298	893	2093
299	895	2090
300	898	2086
301	901	2083
302	904	2079
303	906	2075
304	909	2072
305	912	2068
306	914	2065
307	917	2061
308	920	2057
309	922	2053
310	925	2050
311	928	2046
312	930	2042
313	933	2039
314	936	2036
315	939	2032
316	941	2029
317	944	2025
318	947	2021
319	949	2018
320	952	2014
321	954	2010
322	957	2007
323	960	2003
324	963	2000
325	965	1996
326	968	1993
327	971	1989
328	973	1986
329	976	1982
330	979	1979
331	982	1976
332	985	1973
333	988	1970
334	992	1969
335	995	1966
336	998	1963
337	1001	1961
338	1004	1958
339	1007	1955
340	1010	1953
341	1013	1950
342	1016	1946
343	1018	1942
344	1021	1938
345	1023	1935
346	1026	1931
347	1029	1928
348	1031	1924
349	1034	1920
350	1036	1917
351	1039	1913
352	1042	1910
353	1045	1907
354	1048	1905
355	1051	1902
356	1054	1899
357	1057	1896
358	1060	1893
359	1063	1889
360	1065	1886
361	1068	1883
362	1071	1880
363	1074	1876
364	1076	1873
365	1079	1870
366	1083	1868
367	1085	1864
368	1088	1861
369	1091	1858
370	1093	1854
371	1096	1851
372	1100	1849
373	1102	1845
374	1105	1842
375	1107	1838
376	1110	1835
377	1113	1831
378	1115	1828
379	1119	1826
380	1121	1822
381	1124	1819
382	1127	1816
383	1130	1813
384	1133	1809
385	1135	1806
386	1138	1803
387	1141	1799
388	1143	1796
389	1146	1792
390	1149	1789
391	1151	1786
392	1154	1783
393	1157	1780
394	1160	1777
395	1162	1773
396	1165	1770
397	1168	1767
398	1170	1763
399	1173	1760
400	1176	1757
401	1179	1754
402	1181	1750
403	1184	1747
404	1187	1744
405	1190	1741
406	1192	1737
407	1195	1734
408	1197	1731
409	1200	1727
410	1203	1724
411	1206	1721
412	1209	1718
413	1211	1715
414	1214	1712
415	1217	1709
416	1220	1705
417	1223	1702
418	1225	1699
419	1228	1696
420	1231	1693
421	1234	1690
422	1237	1687
423	1239	1684
424	1242	1681
425	1245	1677
426	1248	1674
427	1250	1671
428	1253	1668
429	1256	1665
430	1258	1661
431	1261	1658
432	1264	1655
433	1266	1652
434	1269	1648
435	1272	1645
436	1275	1643
437	1278	1639
438	1280	1636
439	1283	1633
440	1286	1630
441	1288	1627
442	1291	1624
443	1294	1621
444	1297	1617
445	1300	1615
446	1303	1612
447	1306	1609
448	1308	1606
449	1311	1603
450	1314	1600
451	1317	1597
452	1319	1593
453	1322	1590
454	1325	1587
455	1328	1584
456	1331	1581
457	1333	1578
458	1336	1575
459	1339	1572
460	1341	1569
461	1344	1566
462	1347	1563
463	1350	1560
464	1353	1556
465	1355	1553
466	1358	1550
467	1361	1547
468	1364	1544
469	1367	1542
470	1370	1539
471	1373	1536
472	1375	1533
473	1378	1529
474	1381	1526
475	1383	1523
476	1386	1520
477	1389	1517
478	1391	1513
479	1394	1510
480	1396	1507
481	1399	1504
482	1402	1501
483	1405	1498
484	1407	1494
485	1410	1491
486	1413	1488
487	1416	1485
488	1418	1482
489	1421	1479
490	1424	1476
491	1427	1473
492	1429	1470
493	1432	1467
494	1435	1464
495	1438	1461
496	1441	1458
497	1443	1455
498	1446	1452
499	1448	1448
500	1451	1445
501	1454	1442
502	1457	1440
503	1460	1437
504	1462	1433
505	1465	1430
506	1468	1427
507	1470	1424
508	1473	1421
509	1476	1418
510	1479	1415
511	1482	1412
512	1484	1409
513	1487	1406
514	1490	1403
515	1493	1400
516	1495	1397
517	1498	1394
518	1501	1391
519	1504	1388
520	1507	1385
521	1510	1382
522	1513	1379
523	1515	1376
524	1518	1373
525	1521	1370
526	1523	1367
527	1526	1364
528	1529	1361
529	1532	1358
530	1535	1355
531	1537	1352
532	1540	1349
533	1542	1346
534	1545	1343
535	1548	1340
536	1551	1337
537	1554	1334
538	1557	1331
539	1559	1328
540	1562	1325
541	1565	1323
542	1568	1320
543	1571	1317
544	1573	1314
545	1576	1311
546	1579	1308
547	1582	1304
548	1584	1301
549	1587	1298
550	1590	1295
551	1592	1292
552	1595	1289
553	1598	1286
554	1600	1283
555	1603	1280
556	1606	1277
557	1608	1274
558	1611	1271
559	1614	1268
560	1616	1265
561	1619	1262
562	1622	1259
563	1624	1256
564	1627	1252
565	1629	1249
566	1632	1246
567	1635	1243
568	1638	1241
569	1641	1238
570	1643	1235
571	1646	1232
572	1649	1229
573	1651	1225
574	1654	1223
575	1657	1220
576	1661	1217
577	1663	1214
578	1666	1211
579	1669	1208
580	1671	1205
581	1674	1202
582	1677	1199
583	1680	1196
584	1682	1193
585	1685	1190
586	1688	1187
587	1691	1184
588	1693	1181
589	1696	1178
590	1699	1175
591	1701	1172
592	1704	1169
593	1707	1166
594	1709	1163
595	1712	1160
596	1715	1157
597	1717	1154
598	1720	1151
599	1723	1148
600	1725	1145
601	1728	1142
602	1731	1139
603	1733	1136
604	1736	1133
605	1739	1130
606	1742	1127
607	1744	1124
608	1747	1121
609	1749	1118
610	1752	1116
611	1755	1112
612	1758	1109
613	1760	1107
614	1763	1104
615	1766	1100
616	1768	1098
617	1771	1095
618	1774	1092
619	1777	1089
620	1779	1086
621	1782	1083
622	1785	1080
623	1787	1077
624	1790	1074
625	1792	1071
626	1795	1068
627	1798	1065
628	1801	1062
629	1804	1059
630	1806	1056
631	1809	1053
632	1812	1050
633	1814	1047
634	1817	1044
635	1820	1041
636	1823	1038
637	1825	1035
638	1828	1032
639	1831	1030
640	1833	1027
641	1836	1024
642	1839	1021
643	1841	1018
644	1844	1015
645	1847	1012
646	1849	1009
647	1852	1006
648	1855	1003
649	1857	1000
650	1860	997
651	1863	994
652	1865	991
653	1868	988
654	1871	985
655	1874	982
656	1877	979
657	1879	976
658	1882	973
659	1885	971
660	1887	968
661	1890	965
662	1893	962
663	1896	959
664	1899	956
665	1901	953
666	1904	950
667	1907	947
668	1910	945
669	1912	942
670	1915	939
671	1917	936
672	1920	933
673	1923	930
674	1925	927
675	1928	924
676	1931	921
677	1934	918
678	1937	915
679	1939	912
680	1942	909
681	1945	906
682	1947	903
683	1950	901
684	1953	898
685	1955	895
686	1958	892
687	1960	889
688	1963	886
689	1966	883
690	1968	880
691	1971	877
692	1974	874
693	1977	871
694	1979	868
695	1982	865
696	1985	863
697	1988	860
698	1990	857
699	1993	854
700	1996	851
701	1998	848
702	2001	845
703	2004	842
704	2007	839
705	2009	836
706	2012	834
707	2015	831
708	2018	828
709	2020	825
710	2023	822
711	2026	819
712	2029	816
713	2032	813
714	2034	811
715	2037	808
716	2039	805
717	2042	802
718	2045	799
719	2048	796
720	2050	793
721	2053	790
722	2056	787
723	2058	784
724	2061	782
725	2064	779
726	2066	776
727	2069	773
728	2072	770
729	2075	767
730	2078	764
731	2080	761
732	2083	758
733	2085	755
734	2088	753
735	2091	750
736	2094	747
737	2096	744
738	2099	741
739	2102	738
740	2104	735
741	2107	732
742	2110	729
743	2113	727
744	2115	724
745	2118	721
746	2121	718
747	2124	715
748	2127	712
749	2129	709
750	2132	707
751	2135	704
752	2137	701
753	2140	698
754	2143	695
755	2145	692
756	2148	689
757	2151	686
758	2154	683
759	2156	681
760	2159	678
761	2161	675
762	2164	672
763	2167	669
764	2170	666
765	2173	663
766	2176	661
767	2178	658
768	2181	655
769	2184	652
770	2187	649
771	2189	646
772	2192	643
773	2195	640
774	2198	638
775	2200	635
776	2203	632
777	2205	629
778	2208	626
779	2211	623
780	2213	620
781	2216	617
782	2219	614
783	2221	612
784	2224	609
785	2227	606
786	2229	603
787	2232	600
788	2234	597
789	2237	594
790	2240	591
791	2243	589
792	2246	586
793	2248	583
794	2251	580
795	2254	577
796	2257	574
797	2259	572
798	2262	569
799	2265	566
800	2267	563
801	2270	560
802	2273	557
803	2276	554
804	2279	552
805	2281	549
806	2284	546
807	2287	543
808	2290	540
809	2292	537
810	2295	534
811	2298	532
812	2300	529
813	2303	526
814	2306	523
815	2309	520
816	2312	517
817	2314	515
818	2317	512
819	2320	509
820	2323	506
821	2326	503
822	2329	501
823	2332	498
824	2335	495
825	2338	492
826	2340	489
827	2343	486
828	2346	483
829	2348	481
830	2351	478
831	2353	475
832	2356	472
833	2359	469
834	2361	466
835	2364	463
836	2367	461
837	2370	458
838	2372	455
839	2375	452
840	2378	449
841	2381	446
842	2383	443
843	2386	441
844	2389	438
845	2392	435
846	2394	432
847	2397	429
848	2399	426
849	2402	423
850	2405	421
851	2407	418
852	2410	415
853	2413	412
854	2416	409
855	2418	406
856	2421	404
857	2424	401
858	2426	398
859	2429	395
860	2431	392
861	2434	389
862	2437	386
863	2440	384
864	2443	381
865	2445	378
866	2448	375
867	2451	372
868	2453	369
869	2456	367
870	2459	364
871	2461	361
872	2464	358
873	2467	355
874	2470	352
875	2472	350
876	2475	347
877	2478	344
878	2480	341
879	2483	338
880	2486	335
881	2489	332
882	2491	330
883	2494	327
884	2496	324
885	2499	321
886	2502	318
887	2505	315
888	2507	313
889	2510	310
890	2513	307
891	2515	304
892	2518	301
893	2520	298
894	2523	296
895	2526	293
896	2529	290
897	2531	287
898	2534	284
899	2537	281
900	2540	279
901	2542	276
902	2545	273
903	2548	270
904	2551	267
905	2553	264
906	2556	262
907	2559	259
908	2562	256
909	2564	253
910	2567	250
911	2570	248
912	2573	245
913	2576	242
914	2578	239
915	2581	236
916	2584	233
917	2586	231
918	2589	228
919	2592	225
920	2594	222
921	2597	219
922	2599	216
923	2602	214
924	2605	211
925	2608	208
926	2610	205
927	2613	202
928	2616	199
929	2618	197
930	2621	194
931	2623	191
932	2626	188
933	2629	185
934	2632	182
935	2634	180
936	2637	177
937	2640	174
938	2642	171
939	2645	168
940	2648	166
941	2650	163
942	2653	160
943	2656	157
944	2658	154
945	2661	151
946	2664	149
947	2667	146
948	2669	143
949	2672	140
950	2675	137
951	2678	135
952	2680	132
953	2683	129
954	2686	126
955	2688	123
956	2691	120
957	2694	118
958	2696	115
959	2699	112
960	2702	109
961	2704	106
962	2707	104
963	2710	101
964	2713	98
965	2715	95
966	2718	92
967	2721	89
968	2723	87
969	2726	84
970	2728	81
971	2731	78
972	2734	75
973	2736	73
974	2739	70
975	2742	67
976	2745	64
977	2747	61
978	2750	59
979	2753	56
980	2756	53
981	2758	50
982	2761	47
983	2763	44
984	2766	42
985	2769	39
986	2772	36
987	2774	33
988	2777	30
989	2780	28
990	2783	25
991	2785	22
992	2788	19
993	2791	16
994	2794	14
995	2797	11
996	2799	8
997	2802	5
998	2805	2
999	2807	0
