iter	Logloss
386	0.1884107529
387	0.1881848435
388	0.1879607346
389	0.187750802
390	0.187458404
391	0.1872631337
392	0.187060796
393	0.186837832
394	0.1866131551
395	0.1864276171
396	0.1862251391
397	0.1858458978
398	0.1855964298
399	0.1854316434
400	0.1852038982
401	0.1849751376
402	0.1847273885
403	0.184506015
404	0.1843087378
405	0.1841188785
406	0.1839755938
407	0.1837997804
408	0.1836128471
409	0.1833372891
410	0.1831498103
411	0.1829660568
412	0.182768965
413	0.1825518903
414	0.1823455107
415	0.1822062794
416	0.1820143563
417	0.1818661037
418	0.1816447179
419	0.1814740571
420	0.1812185832
421	0.1809936182
422	0.1807600869
423	0.1805327016
424	0.1803495541
425	0.1801943015
426	0.1799970005
427	0.1797061294
428	0.1794385613
429	0.1793463485
430	0.1790828892
431	0.1788843162
432	0.1788032987
433	0.1785757853
434	0.1783012925
435	0.1781411501
436	0.1779082401
437	0.177735801
438	0.1775194245
439	0.1773168036
440	0.1771051957
441	0.1768350655
442	0.1766140559
443	0.1763891154
444	0.1760835418
445	0.1758213709
446	0.1756407092
447	0.1753886422
448	0.1752028774
449	0.1750110217
450	0.174729238
451	0.1745224813
452	0.1743723623
453	0.1742039129
454	0.1739868682
455	0.1738252487
456	0.1736488859
457	0.1734272279
458	0.173303679
459	0.1730863832
460	0.1728105784
461	0.1726910644
462	0.1724809857
463	0.1722728248
464	0.1720596935
465	0.1717991621
466	0.1715832402
467	0.1713683405
468	0.1712047782
469	0.171055967
470	0.1708700855
471	0.1706129346
472	0.1703426984
473	0.1701323582
474	0.1699440022
475	0.1697913851
476	0.1696396471
477	0.1695104631
478	0.1692964547
479	0.1690545921
480	0.1688780041
481	0.1687320736
482	0.168517589
483	0.1682880439
484	0.1680161584
485	0.1678297556
486	0.1676526581
487	0.1674234077
488	0.1672762833
489	0.1670823251
490	0.1669111385
491	0.1667882684
492	0.1666170983
493	0.166450854
494	0.1663132839
495	0.1660974982
496	0.1659042437
497	0.1657078814
498	0.165533561
499	0.1653379722
500	0.1651867372
501	0.1650507679
502	0.1648157118
503	0.1646278536
504	0.1644428821
505	0.164226614
506	0.1640436811
507	0.1638592374
508	0.1636732879
509	0.1634235212
510	0.1632020204
511	0.1630288192
512	0.1629326551
513	0.1628020362
514	0.1625157521
515	0.1623042326
516	0.162158418
517	0.1619521908
518	0.1616787409
519	0.1614679262
520	0.1613520339
521	0.161136693
522	0.1609444729
523	0.1606596783
524	0.160423716
525	0.1602532851
526	0.1600045374
527	0.1598051799
528	0.1596159898
529	0.1594463643
530	0.1592210722
531	0.158980578
532	0.1588132329
533	0.158649753
534	0.158460871
535	0.1583014155
536	0.158121662
537	0.1579459607
538	0.157731178
539	0.1575680717
540	0.1574271237
541	0.157253808
542	0.1570476996
543	0.1568841291
544	0.1566901451
545	0.1565586741
546	0.156398228
547	0.1562490539
548	0.1560433323
549	0.1557772891
550	0.1555742495
551	0.155376404
552	0.1552248842
553	0.1550167713
554	0.1548870754
555	0.1548332846
556	0.1545991341
557	0.1544916302
558	0.154427131
559	0.154224805
560	0.1540658057
561	0.1539037881
562	0.1537397414
563	0.1534976308
564	0.1533404769
565	0.1530921262
566	0.152969391
567	0.152730554
568	0.1525949695
569	0.1524263729
570	0.1523068822
571	0.1520986028
572	0.1519353452
573	0.1516789176
574	0.151481511
575	0.1512904099
576	0.1511129145
577	0.1509904419
578	0.1508892334
579	0.1506798765
580	0.1504344572
581	0.15025924
582	0.1501419548
583	0.1499632771
584	0.1498320738
585	0.1497024751
586	0.149456476
587	0.1492508835
588	0.149154132
589	0.1490608201
590	0.1489114495
591	0.1487646841
592	0.1485985795
593	0.1484549646
594	0.1483461936
595	0.148213773
596	0.1480291058
597	0.1478517013
598	0.1476797721
599	0.1475540633
600	0.1473388288
601	0.1471462663
602	0.1470348889
603	0.1468292917
604	0.1466819256
605	0.1465667326
606	0.1463957002
607	0.1462056653
608	0.1460605913
609	0.1458834508
610	0.1457056686
611	0.1455867674
612	0.1454420108
613	0.1453360978
614	0.1451899567
615	0.1449925611
616	0.1448102761
617	0.14461529
618	0.1444421642
619	0.1443032907
620	0.1441632616
621	0.1439654393
622	0.1438761916
623	0.1437355384
624	0.1436130968
625	0.1434619277
626	0.1433487189
627	0.1432228747
628	0.1430954912
629	0.1429534552
630	0.1427868813
631	0.1426507191
632	0.1424751381
633	0.1423409109
634	0.1421077848
635	0.1419796434
636	0.1418150893
637	0.1415946363
638	0.1413971506
639	0.1412069603
640	0.1409649975
641	0.1407914784
642	0.1405843341
643	0.1404337019
644	0.1402076887
645	0.1401028461
646	0.1399683353
647	0.1398101921
648	0.1396117463
649	0.1394444066
650	0.1392502801
651	0.1391189067
652	0.1389482026
653	0.1387658714
654	0.1386477735
655	0.1384607954
656	0.1383324815
657	0.1382182806
658	0.1381057205
659	0.1379032919
660	0.1377450409
661	0.1376219717
662	0.1374720358
663	0.1373342444
664	0.13716571
665	0.1370726064
666	0.1369321901
667	0.1368215089
668	0.1366404049
669	0.136495985
670	0.1363268317
671	0.1361646262
672	0.1360980404
673	0.1359169378
674	0.1356920286
675	0.1355150025
676	0.1354422591
677	0.1353027455
678	0.1350897858
679	0.1349193671
680	0.1347756279
681	0.1345762476
682	0.1344438313
683	0.1343063393
684	0.134167726
685	0.1340591914
686	0.133889044
687	0.1337379455
688	0.1335392935
689	0.1334308378
690	0.1332447781
691	0.1330963754
692	0.1329273056
693	0.1328277997
694	0.1327257027
695	0.1326016635
696	0.1325144434
697	0.1324440792
698	0.1323496728
699	0.1321536252
700	0.1319417084
701	0.1317252991
702	0.1315309842
703	0.1314068268
704	0.1312486881
705	0.1311238581
706	0.1310330588
707	0.130909796
708	0.1307692891
709	0.1305819513
710	0.1304259474
711	0.1302696096
712	0.1301271557
713	0.1300123688
714	0.1299355328
715	0.1297483456
716	0.1296086209
717	0.129489892
718	0.1293346935
719	0.1291563111
720	0.1289869311
721	0.1288276457
722	0.1286867593
723	0.1285507649
724	0.128392377
725	0.1283178545
726	0.1281541357
727	0.1280525344
728	0.1279084013
729	0.1277406899
730	0.1275897753
731	0.127498048
732	0.1273426361
733	0.1271548823
734	0.126975033
735	0.1268295125
736	0.1266358156
737	0.1265546685
738	0.1264096975
739	0.1262937277
740	0.1261530353
741	0.1260657733
742	0.1258823377
743	0.1257521145
744	0.1256259412
745	0.1254981167
746	0.1253490307
747	0.1252107331
748	0.1250831497
749	0.1249153218
750	0.1247957932
751	0.1246265983
752	0.1244999893
753	0.1244086833
754	0.1242324275
755	0.1240986452
756	0.1239627205
757	0.1237690621
758	0.1235703905
759	0.1234280147
760	0.1232385203
761	0.1230456146
762	0.1229331343
763	0.1228776096
764	0.1227699086
765	0.1226471168
766	0.1224673631
767	0.1223247112
768	0.1222442145
769	0.1220907809
770	0.1219929151
771	0.1218750808
772	0.121689639
773	0.1215650131
774	0.1214520118
775	0.1213786455
776	0.1212393721
777	0.1212256012
778	0.1211062443
779	0.1209742172
780	0.1207924948
781	0.120609531
782	0.1204933435
783	0.1203612256
784	0.1202284304
785	0.1201001344
786	0.1199181332
787	0.1197617068
788	0.1196763377
789	0.1195303738
790	0.1194681569
791	0.1193226046
792	0.1192231892
793	0.1190808275
794	0.1189843858
795	0.1189094825
796	0.118824687
797	0.1186539017
798	0.1185195058
799	0.1183154541
800	0.1181593766
801	0.1180330004
802	0.1178812427
803	0.1176975085
804	0.1175779173
805	0.1174904399
806	0.1173999083
807	0.1172863475
808	0.1171381666
809	0.1170193364
810	0.1169250165
811	0.1167978032
812	0.1167052609
813	0.1165508926
814	0.1164159649
815	0.1162786522
816	0.1161504768
817	0.1160808765
818	0.1159634476
819	0.115844372
820	0.115731834
821	0.1155722425
822	0.1154768225
823	0.1154032308
824	0.1152328395
825	0.1151277059
826	0.1149739861
827	0.1148720612
828	0.1147863012
829	0.114665913
830	0.1145391794
831	0.1144434155
832	0.1143109213
833	0.1142229991
834	0.1141234554
835	0.1140269734
836	0.1139093227
837	0.1138058587
838	0.113669883
839	0.1135346975
840	0.113416647
841	0.1133061128
842	0.1132003568
843	0.1131066555
844	0.1130006817
845	0.1128094317
846	0.1127037144
847	0.112578534
848	0.1124152342
849	0.1123201756
850	0.1122127642
851	0.1120269482
852	0.11192768
853	0.1117845316
854	0.1116202487
855	0.1115049395
856	0.111349146
857	0.1113061912
858	0.1111684071
859	0.1110960051
860	0.1109472477
861	0.1108760484
862	0.1108028012
863	0.1107071627
864	0.1106211211
865	0.1105494519
866	0.1104089929
867	0.1102912945
868	0.1101690787
869	0.1100386431
870	0.109912438
871	0.1097709658
872	0.1096510173
873	0.1094929489
874	0.1093707126
875	0.1091759841
876	0.1090822293
877	0.1089565693
878	0.1088265556
879	0.108673666
880	0.1085869585
881	0.1084882417
882	0.1083704023
883	0.1082900701
884	0.108168238
885	0.1080411862
886	0.1078778957
887	0.1077795987
888	0.1076068392
889	0.107518416
890	0.1074189441
891	0.1072817646
892	0.1071825664
893	0.1070584158
894	0.1069705401
895	0.1068732332
896	0.1067419626
897	0.1065706657
898	0.1064575072
899	0.1063789167
900	0.1062711942
901	0.10611663
902	0.1060139097
903	0.1058944377
904	0.105805176
905	0.1057129169
906	0.1056340284
907	0.1055026342
908	0.1053608908
909	0.1052784316
910	0.1051413854
911	0.1050498898
912	0.1049005881
913	0.1048315091
914	0.1047600776
915	0.1046791536
916	0.1045827671
917	0.1044479101
918	0.1043534657
919	0.1042310375
920	0.1041277479
921	0.1040267454
922	0.1039441614
923	0.1038286448
924	0.1037078027
925	0.1035483217
926	0.1034167173
927	0.1032923304
928	0.1031804743
929	0.1030730612
930	0.1029818507
931	0.1028881838
932	0.1026897021
933	0.1025901213
934	0.1024550208
935	0.1023461598
936	0.1022221578
937	0.1021087449
938	0.1020378728
939	0.101933674
940	0.1019006534
941	0.1017492801
942	0.1016335501
943	0.1015369151
944	0.1014004193
945	0.1013245429
946	0.1012007798
947	0.1010599869
948	0.1009878074
949	0.1008735193
950	0.1007696357
951	0.1006909883
952	0.1005922289
953	0.1004557015
954	0.100414161
955	0.1002944287
956	0.1001916432
957	0.1001252476
958	0.09999369294
959	0.0999118898
960	0.09980242888
961	0.09964795077
962	0.09950696994
963	0.09938666019
964	0.0993375614
965	0.09920197758
966	0.09904702674
967	0.0989668044
968	0.09886740216
969	0.09880498378
970	0.09869969927
971	0.09862974223
972	0.09850669632
973	0.09837600773
974	0.09825633764
975	0.09814632996
976	0.09808511192
977	0.09791915219
978	0.09781186185
979	0.09770198053
980	0.09758008041
981	0.09748632047
982	0.09736119528
983	0.09728977092
984	0.09716756354
985	0.09709251321
986	0.09693922657
987	0.09685735101
988	0.09675915043
989	0.0966574052
990	0.0965470508
991	0.09648431877
992	0.09640176813
993	0.09628536416
994	0.09619816746
995	0.09606153762
996	0.0959219318
997	0.09577707965
998	0.09568808413
999	0.09553560792
